,Location,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
303,"KLCC, Kuala Lumpur",2+1,2.0,1.0,Serviced Residence,"Built-up : 1,490 sq. ft.",Fully Furnished
304,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2,2.0,,Condominium,"Built-up : 1,164 sq. ft.",
305,"Taman Desa, Kuala Lumpur",3+1,4.0,,Condominium,"Built-up : 1,784 sq. ft.",
306,"Desa ParkCity, Kuala Lumpur",4+1,5.0,4.0,Condominium (Intermediate),"Built-up : 2,454 sq. ft.",Fully Furnished
307,"Bukit Jalil, Kuala Lumpur",3+1,3.0,2.0,Condominium (Intermediate),"Built-up : 1,335 sq. ft.",Partly Furnished
308,"KLCC, Kuala Lumpur",Studio,1.0,,Serviced Residence,Built-up : 493 sq. ft.,Partly Furnished
309,"Cheras, Kuala Lumpur",3,2.0,2.0,Apartment (Intermediate),Built-up : 950 sq. ft.,Unfurnished
310,"Mont Kiara, Kuala Lumpur",4+1,5.0,3.0,Condominium (Corner),Land area : - sq. ft.,Partly Furnished
311,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,2.0,Serviced Residence (Intermediate),Built-up : 950 sq. ft.,Fully Furnished
312,"Bukit Bintang, Kuala Lumpur",1,1.0,1.0,Condominium,Built-up : 538 sq. ft.,Unfurnished
313,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",3,2.0,,Apartment (Corner),Built-up : 805 sq. ft.,Unfurnished
314,"KLCC, Kuala Lumpur",3+1,3.0,2.0,Condominium (Intermediate),"Built-up : 2,250 sq. ft.",Fully Furnished
315,"Bangsar, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,850 sq. ft.",Partly Furnished
316,"Bangsar, Kuala Lumpur",4+1,6.0,3.0,Condominium (Corner),"Built-up : 3,380 sq. ft.",Partly Furnished
317,"Mont Kiara, Kuala Lumpur",4+1,5.0,4.0,3.5-sty Terrace/Link House (Intermediate),Land area : 1388 sq. ft.,Partly Furnished
318,"Sri Hartamas, Kuala Lumpur",4+1,6.0,2.0,Condominium (Intermediate),"Built-up : 5,230 sq. ft.",Fully Furnished
319,"Cheras, Kuala Lumpur",3,2.0,1.0,Condominium (Corner),"Built-up : 1,020 sq. ft.",Partly Furnished
